iter	Passed	Remaining
601	38915	25727
602	38976	25661
603	39032	25591
604	39100	25528
605	39164	25463
606	39237	25404
607	39300	25338
608	39368	25275
609	39434	25212
610	39496	25146
611	39558	25079
612	39621	25014
613	39680	24945
614	39737	24876
615	39794	24806
616	39854	24739
617	39918	24674
618	39976	24605
619	40032	24535
620	40099	24473
621	40163	24407
622	40229	24344
623	40292	24278
624	40349	24209
625	40414	24145
626	40472	24077
627	40538	24013
628	40598	23945
629	40663	23881
630	40722	23814
631	40787	23749
632	40844	23680
633	40901	23611
634	40964	23546
635	41028	23481
636	41089	23415
637	41153	23350
638	41213	23283
639	41270	23214
640	41333	23149
641	41394	23083
642	41465	23021
643	41524	22954
644	41588	22889
645	41649	22823
646	41713	22758
647	41783	22697
648	41845	22631
649	41906	22565
650	41974	22502
651	42036	22436
652	42105	22374
653	42169	22309
654	42222	22239
655	42283	22172
656	42352	22110
657	42401	22038
658	42461	21971
659	42520	21904
660	42588	21841
661	42657	21780
662	42728	21718
663	42791	21653
664	42855	21588
665	42916	21522
666	42977	21456
667	43050	21396
668	43116	21332
669	43171	21263
670	43240	21201
671	43303	21136
672	43366	21070
673	43422	21002
674	43485	20937
675	43550	20873
676	43614	20808
677	43682	20745
678	43753	20684
679	43817	20620
680	43874	20552
681	43934	20485
682	43997	20420
683	44064	20357
684	44130	20293
685	44188	20226
686	44252	20161
687	44314	20096
688	44370	20028
689	44443	19967
690	44502	19900
691	44562	19834
692	44633	19772
693	44693	19706
694	44751	19639
695	44811	19572
696	44869	19505
697	44934	19441
698	44998	19376
699	45065	19313
700	45125	19247
701	45181	19179
702	45239	19112
703	45304	19048
704	45365	18982
705	45429	18918
706	45491	18852
707	45549	18786
708	45611	18720
709	45668	18653
710	45738	18591
711	45802	18526
712	45861	18460
713	45923	18394
714	45980	18327
715	46042	18262
716	46103	18196
717	46165	18131
718	46226	18066
719	46292	18002
720	46360	17939
721	46417	17872
722	46480	17808
723	46540	17741
724	46597	17675
725	46655	17608
726	46721	17544
727	46787	17480
728	46851	17416
729	46914	17351
730	46986	17290
731	47047	17225
732	47104	17158
733	47162	17091
734	47228	17027
735	47291	16963
736	47374	16905
737	47441	16842
738	47505	16777
739	47569	16713
740	47632	16649
741	47699	16585
742	47756	16518
743	47814	16452
744	47878	16387
745	47945	16324
746	48008	16259
747	48073	16195
748	48136	16131
749	48207	16069
750	48269	16004
751	48334	15940
752	48399	15875
753	48458	15810
754	48521	15745
755	48581	15679
756	48644	15614
757	48700	15548
758	48758	15481
759	48826	15418
760	48891	15354
761	48950	15289
762	49025	15228
763	49082	15161
764	49143	15096
765	49203	15030
766	49276	14969
767	49347	14906
768	49421	14845
769	49477	14778
770	49542	14714
771	49607	14650
772	49662	14583
773	49726	14519
774	49784	14453
775	49845	14388
776	49910	14324
777	49977	14260
778	50039	14196
779	50103	14131
780	50166	14067
781	50229	14002
782	50304	13941
783	50375	13878
784	50435	13813
785	50507	13751
786	50571	13687
787	50634	13622
788	50691	13556
789	50754	13491
790	50828	13430
791	50888	13364
792	50948	13299
793	51009	13234
794	51070	13169
795	51133	13104
796	51189	13038
797	51263	12976
798	51328	12912
799	51393	12848
800	51458	12784
801	51528	12721
802	51599	12658
803	51662	12594
804	51725	12529
805	51783	12463
806	51845	12399
807	51902	12333
808	51957	12266
809	52021	12202
810	52086	12138
811	52148	12073
812	52206	12008
813	52271	11944
814	52325	11877
815	52392	11813
816	52456	11749
817	52518	11685
818	52590	11622
819	52650	11557
820	52716	11493
821	52785	11430
822	52851	11366
823	52908	11300
824	52971	11236
825	53041	11173
826	53101	11108
827	53168	11044
828	53230	10980
829	53285	10913
830	53357	10851
831	53419	10786
832	53488	10723
833	53544	10657
834	53606	10592
835	53665	10527
836	53727	10462
837	53784	10397
838	53854	10334
839	53909	10268
840	53967	10203
841	54025	10137
842	54081	10072
843	54142	10007
844	54208	9943
845	54272	9879
846	54331	9814
847	54387	9748
848	54451	9684
849	54514	9620
850	54581	9556
851	54637	9491
852	54707	9427
853	54762	9362
854	54825	9297
855	54887	9233
856	54940	9167
857	55003	9103
858	55066	9038
859	55137	8975
860	55210	8913
861	55276	8849
862	55342	8785
863	55405	8721
864	55473	8657
865	55542	8594
866	55604	8529
867	55669	8465
868	55739	8402
869	55803	8338
870	55868	8274
871	55926	8209
872	55985	8144
873	56049	8080
874	56122	8017
875	56193	7954
876	56271	7892
877	56359	7831
878	56419	7766
879	56492	7703
880	56559	7639
881	56625	7575
882	56690	7511
883	56750	7446
884	56815	7382
885	56874	7317
886	56933	7253
887	56997	7188
888	57064	7125
889	57130	7061
890	57196	6997
891	57259	6932
892	57327	6868
893	57381	6803
894	57438	6738
895	57497	6673
896	57566	6610
897	57627	6545
898	57691	6481
899	57755	6417
900	57830	6354
901	57896	6290
902	57954	6225
903	58026	6162
904	58089	6097
905	58149	6033
906	58212	5968
907	58274	5904
908	58331	5839
909	58388	5774
910	58445	5709
911	58515	5646
912	58585	5582
913	58650	5518
914	58715	5454
915	58781	5390
916	58851	5326
917	58917	5262
918	58974	5197
919	59035	5133
920	59102	5069
921	59163	5005
922	59233	4941
923	59297	4877
924	59359	4812
925	59432	4749
926	59496	4685
927	59556	4620
928	59610	4555
929	59672	4491
930	59744	4427
931	59804	4363
932	59864	4298
933	59920	4234
934	59985	4170
935	60058	4106
936	60126	4042
937	60194	3978
938	60262	3914
939	60314	3849
940	60379	3785
941	60443	3721
942	60509	3657
943	60573	3593
944	60634	3528
945	60692	3464
946	60761	3400
947	60827	3336
948	60884	3271
949	60952	3208
950	61009	3143
951	61077	3079
952	61137	3015
953	61210	2951
954	61271	2887
955	61337	2823
956	61401	2758
957	61461	2694
958	61529	2630
959	61594	2566
960	61652	2502
961	61719	2437
962	61794	2374
963	61869	2310
964	61923	2245
965	61980	2181
966	62045	2117
967	62106	2053
968	62168	1988
969	62223	1924
970	62288	1860
971	62350	1796
972	62412	1731
973	62477	1667
974	62548	1603
975	62613	1539
976	62681	1475
977	62739	1411
978	62803	1347
979	62857	1282
980	62924	1218
981	62981	1154
982	63051	1090
983	63124	1026
984	63194	962
985	63266	898
986	63326	834
987	63394	769
988	63461	705
989	63518	641
990	63580	577
991	63643	513
992	63706	449
993	63769	384
994	63832	320
995	63894	256
996	63959	192
997	64022	128
998	64083	64
999	64146	0
