iter	MultiClass
314	0.5088225407
315	0.5085831495
316	0.5084301341
317	0.5081622655
318	0.5079780249
319	0.5078337117
320	0.5075929362
321	0.5074618129
322	0.5073505018
323	0.5072781958
324	0.5071535753
325	0.5068854482
326	0.5067046219
327	0.5064796406
328	0.5064065489
329	0.5062360368
330	0.5060778903
331	0.5060103032
332	0.5057009477
333	0.5055971414
334	0.5055196085
335	0.5053215778
336	0.505184298
337	0.5049339554
338	0.5047654663
339	0.5046597465
340	0.5045406607
341	0.5043996821
342	0.5042730266
343	0.5041966918
344	0.5040211787
345	0.503853608
346	0.5037629939
347	0.5035403105
348	0.503284394
349	0.5031248006
350	0.5030516006
351	0.502908955
352	0.502734675
353	0.5025001874
354	0.5022747651
355	0.5021668072
356	0.5020073125
357	0.501928508
358	0.5018366957
359	0.5016540914
360	0.501475977
361	0.5013125217
362	0.5010346278
363	0.500873862
364	0.5005753907
365	0.5002463445
366	0.5000907987
367	0.4997378366
368	0.4996127029
369	0.4994650497
370	0.4992724222
371	0.4991456332
372	0.4989688786
373	0.4988190145
374	0.4987196194
375	0.4986080685
376	0.4985135245
377	0.4983309296
378	0.4981857435
379	0.4980204151
380	0.4978568569
381	0.4977128322
382	0.497592143
383	0.4974369751
384	0.4973208544
385	0.4972691854
386	0.4971154801
387	0.4969917823
388	0.4968694286
389	0.4967931127
390	0.4967069253
391	0.4966232075
392	0.4964877912
393	0.4963700226
394	0.4962948004
395	0.4961728365
396	0.4959694511
397	0.4958752219
398	0.4957011208
399	0.4956204946
400	0.4954465213
401	0.4951285374
402	0.4949738118
403	0.4948160923
404	0.4947414495
405	0.4945718499
406	0.4945006539
407	0.4944513634
408	0.4943894997
409	0.4943089799
410	0.4940052968
411	0.4939268873
412	0.4937698302
413	0.4937031215
414	0.4935389771
415	0.4934122918
416	0.49325648
417	0.4932187483
418	0.4930734613
419	0.4929347062
420	0.4928638248
421	0.4927216653
422	0.4926401279
423	0.4925021611
424	0.4924131273
425	0.4923120133
426	0.4922144638
427	0.4920276372
428	0.4919330784
429	0.4918923876
430	0.4917246637
431	0.4916624728
432	0.4915845261
433	0.4914256266
434	0.4913037706
435	0.4911671784
436	0.4910342599
437	0.4908864635
438	0.4907958548
439	0.490743211
440	0.4906463922
441	0.4905821451
442	0.4904725629
443	0.4903411648
444	0.4902405163
445	0.4901656206
446	0.4900727812
447	0.4899433945
448	0.4898312341
449	0.489744143
450	0.4895639123
451	0.4894119215
452	0.4893005813
453	0.4891315346
454	0.4888704697
455	0.4886640208
456	0.4886001716
457	0.4884240183
458	0.4882461231
459	0.4881830263
460	0.4881053206
461	0.4880269359
462	0.487927436
463	0.4878205747
464	0.4876638958
465	0.4875934241
466	0.4874703979
467	0.4873846311
468	0.4872449903
469	0.4871855885
470	0.4870743815
471	0.4870324022
472	0.4869565091
473	0.4868689253
474	0.4867051834
475	0.4866175958
476	0.4864015886
477	0.4863051133
478	0.4861697019
479	0.4861020255
480	0.4858982309
481	0.4858161778
482	0.4857150985
483	0.4856007127
484	0.485491872
485	0.4853696434
486	0.4852858472
487	0.4851713604
488	0.4850655729
489	0.4849961058
490	0.4848492288
491	0.4846921077
492	0.4845974639
493	0.4844477658
494	0.4843615624
495	0.4843165898
496	0.4842613643
497	0.4842266126
498	0.4841145112
499	0.4839513296
500	0.4838919085
501	0.4837543684
502	0.4836417767
503	0.4835087914
504	0.4833549222
505	0.4833053821
506	0.4832438826
507	0.483091066
508	0.4830237515
509	0.4829562655
510	0.4828694059
511	0.4828107053
512	0.4827092628
513	0.4826141283
514	0.4825028253
515	0.4823943114
516	0.4822604978
517	0.482194732
518	0.4820319654
519	0.4819258706
520	0.4818614085
521	0.4817333355
522	0.4815820162
523	0.4815014009
524	0.4813948403
525	0.4813498183
526	0.481303346
527	0.4812186433
528	0.4811664869
529	0.4811158169
530	0.4810358421
531	0.4808974958
532	0.4808286812
533	0.4807801781
534	0.480607322
535	0.4805343126
536	0.4804374592
537	0.4803775316
538	0.4802269761
539	0.4801074665
540	0.4800109559
541	0.4798262636
542	0.4796504513
543	0.4795719643
544	0.4794964744
545	0.479431992
546	0.4792958317
547	0.4791789906
548	0.479005234
549	0.4789231173
550	0.4788358969
551	0.4787564363
552	0.4786947361
553	0.4786258965
554	0.4785583126
555	0.4784334764
556	0.4783283768
557	0.4782008473
558	0.4780728683
559	0.4780416046
560	0.4778923475
561	0.4778165137
562	0.4777723025
563	0.4777138918
564	0.4776591119
565	0.4775914788
566	0.4775249268
567	0.4774683621
568	0.4773728204
569	0.4772175599
570	0.4770892317
571	0.476998985
572	0.4768787055
573	0.4768287928
574	0.476760976
575	0.4766685976
576	0.4765176162
577	0.4763746785
578	0.4762810927
579	0.4761846125
580	0.4760553619
581	0.4759043691
582	0.4758495524
583	0.4757887752
584	0.4757070214
585	0.4756485979
586	0.475602495
587	0.4755486285
588	0.4755125775
589	0.4754589853
590	0.4753515297
591	0.4751688476
592	0.4750828773
593	0.4749063104
594	0.474840825
595	0.4747353478
596	0.4746475183
597	0.4745585951
598	0.4744988678
599	0.4743197827
600	0.4742634545
601	0.4742032024
602	0.4741383697
603	0.4740793066
604	0.4740169846
605	0.4739332659
606	0.4737633341
607	0.4736776537
608	0.4735781603
609	0.473406976
610	0.4733437605
611	0.4732775283
612	0.4731673151
613	0.4731020871
614	0.4730594064
615	0.4729773097
616	0.4729273975
617	0.472881019
618	0.4728241836
619	0.4727702441
620	0.4727225983
621	0.4726183793
622	0.4725208391
623	0.4724407759
624	0.4724011367
625	0.472314708
626	0.4722756427
627	0.4721786542
628	0.4720948602
629	0.4719780032
630	0.4719217319
631	0.4718524948
632	0.4717860113
633	0.4717064109
634	0.4716116484
635	0.4715145123
636	0.4714541823
637	0.4714055065
638	0.4713112923
639	0.471224156
640	0.4711241955
641	0.4710274457
642	0.4709620797
643	0.4708962389
644	0.4708234994
645	0.4707816429
646	0.4707276606
647	0.4706266726
648	0.4705678757
649	0.4705090843
650	0.470420904
651	0.4703497833
652	0.4702430159
653	0.4701747337
654	0.470147709
655	0.4700956783
656	0.4699689589
657	0.4699524463
658	0.469900577
659	0.4698184025
660	0.4697266573
661	0.4696816106
662	0.4695368949
663	0.4694790666
664	0.4694159616
665	0.4693301782
666	0.4692357664
667	0.4691206954
668	0.4689848225
669	0.4689587378
670	0.468825109
671	0.4687640188
672	0.468669019
673	0.4686383576
674	0.4685467163
675	0.4684829307
676	0.4683910364
677	0.4683294554
678	0.4682294045
679	0.4681000499
680	0.4680473703
681	0.4679867589
682	0.4679214929
683	0.4678403977
684	0.4677467885
685	0.4676985464
686	0.4676149495
687	0.4675399898
688	0.4675036393
689	0.4674234832
690	0.4673828324
691	0.4673614041
692	0.4672714162
693	0.4671816412
694	0.467128077
695	0.4670493157
696	0.4670031102
697	0.4668827457
698	0.4667822923
699	0.4667088765
700	0.4666522203
701	0.4666102161
702	0.4665531006
703	0.4665048684
704	0.4664626751
705	0.4663556765
706	0.4662896417
707	0.4662489666
708	0.4662118714
709	0.4661681133
710	0.4660515701
711	0.4659636238
712	0.4659411089
713	0.4658762755
714	0.4658312343
715	0.4657331343
716	0.4656725454
717	0.4655851191
718	0.4655282338
719	0.4654720694
720	0.4653847443
721	0.4653445945
722	0.4652407258
723	0.4651848087
724	0.4651266795
725	0.4650791309
726	0.4649660248
727	0.464863362
728	0.4648095268
729	0.4647412396
730	0.4646590763
731	0.4646042033
732	0.4645542599
733	0.4645063538
734	0.4644634164
735	0.4643657918
736	0.4642463632
737	0.464164599
738	0.4641103578
739	0.4640467423
740	0.463982844
741	0.4638712838
742	0.4638310238
743	0.4637893358
744	0.4637430894
745	0.4636778012
746	0.4635906295
747	0.4635368296
748	0.4634617188
749	0.4633316614
750	0.4632609748
751	0.4631580872
752	0.4630752417
753	0.4630191246
754	0.462980358
755	0.4629429688
756	0.4628573318
757	0.4628293128
758	0.4627854973
759	0.4627166288
760	0.4626841824
761	0.4625955091
762	0.4624289348
763	0.4623914735
764	0.4623078142
765	0.4622403214
766	0.4621210597
767	0.4620048572
768	0.4619200721
769	0.4618891415
770	0.4617737198
771	0.4616681271
772	0.4616097741
773	0.4615321836
774	0.4614887004
775	0.4614309593
776	0.4613809901
777	0.4612840066
778	0.4612388763
779	0.4611150217
780	0.4610481415
781	0.460991436
782	0.4608797068
783	0.4607700211
784	0.4607316568
785	0.4606405531
786	0.4605767371
787	0.4605322888
788	0.4604696768
789	0.4604053637
790	0.4602343966
791	0.4601950399
792	0.460097687
793	0.4600246814
794	0.4599756839
795	0.4599135752
796	0.4598922219
797	0.4597659878
798	0.4597104379
799	0.4596611604
800	0.4596161632
801	0.4595127048
802	0.4593999991
803	0.4593670859
804	0.4593126754
805	0.4592288741
806	0.4591667029
807	0.459137333
808	0.4591004854
809	0.4590508078
810	0.4589788194
811	0.45892682
812	0.4589004528
813	0.4588358053
814	0.4588008184
815	0.458705836
816	0.458667574
817	0.4586346901
818	0.4585361618
819	0.4585065072
820	0.4584199586
821	0.4583251792
822	0.4582549968
823	0.458211056
824	0.4581295052
825	0.4580214988
826	0.4579474518
827	0.4578177763
828	0.4577784807
829	0.4577418345
830	0.4576389221
831	0.4575987595
832	0.4575163074
833	0.4574800941
834	0.4574253569
835	0.457367754
836	0.4573051992
837	0.457275241
838	0.4571881427
839	0.4571476567
840	0.4571035287
841	0.4570559727
842	0.4570284011
843	0.45698051
844	0.4568743275
845	0.4568103685
846	0.4567684568
847	0.4567369915
848	0.4566764054
849	0.4566512747
850	0.4565983827
851	0.4565752655
852	0.4565113612
853	0.456409294
854	0.4563441593
855	0.4562735772
856	0.456257342
857	0.456194762
858	0.4561462827
859	0.4560920126
860	0.4559657271
861	0.4558631022
862	0.4558233411
863	0.4557790745
864	0.4557340178
865	0.455647202
866	0.4556114748
867	0.4555426838
868	0.4554893474
869	0.4554323084
870	0.4553751282
871	0.4552948943
872	0.4552474989
873	0.4552225254
874	0.4551820737
875	0.4551220207
876	0.4550758952
877	0.4550260205
878	0.4549872817
879	0.4549170429
880	0.4548623738
881	0.4547890038
882	0.4547482374
883	0.4546984545
884	0.4546317414
885	0.4545881333
886	0.4545542158
887	0.4545096488
888	0.4544348267
889	0.454387405
890	0.4543066205
891	0.4542730848
892	0.4542067239
893	0.4541805408
894	0.4541483912
895	0.4541029585
896	0.4540764865
897	0.4540083931
898	0.4539457952
899	0.4538739096
900	0.4537674954
901	0.4537205686
902	0.4536861479
903	0.4536131656
904	0.4535227351
905	0.4535004574
906	0.4534302232
907	0.4533716467
908	0.4533427432
909	0.4533028299
910	0.4532819557
911	0.4532223946
912	0.4531593308
913	0.4531060092
914	0.4530499949
915	0.4529924746
916	0.4529097665
917	0.4528499834
918	0.4528210193
919	0.4527840754
920	0.4527064584
921	0.4526606729
922	0.4525622007
923	0.4525205258
924	0.4524380799
925	0.452379619
926	0.4523256377
927	0.4522957813
928	0.4522832366
929	0.4522423399
930	0.452159496
931	0.4521126663
932	0.4520341359
933	0.4519915787
934	0.4518722079
935	0.4517722061
936	0.4517113002
937	0.4516367683
938	0.4515492709
939	0.4515250904
940	0.4514584668
941	0.4513875615
942	0.451347516
943	0.4512971205
944	0.4512502293
945	0.451230165
946	0.4511897156
947	0.4511369363
948	0.4511081986
949	0.4510115746
950	0.4509778471
951	0.4508514681
952	0.4508154063
953	0.4507776635
954	0.4507460336
955	0.4506707397
956	0.4506232695
957	0.4505799462
958	0.4505003358
959	0.450453817
960	0.4504229125
961	0.4503420447
962	0.4502126334
963	0.4501346332
964	0.4501051154
965	0.4500665234
966	0.450009
967	0.4499795104
968	0.4499367681
969	0.4499196482
970	0.4498852442
971	0.4498229574
972	0.4497648838
973	0.4496993731
974	0.44960569
975	0.4495327395
976	0.4494857629
977	0.4494323415
978	0.4493720339
979	0.4493474148
980	0.4492945036
981	0.4492614943
982	0.4491789646
983	0.4490844872
984	0.4489994686
985	0.4489386866
986	0.4489113802
987	0.4488311732
988	0.448733402
989	0.448700714
990	0.4486591443
991	0.4485758486
992	0.4485209226
993	0.4484492135
994	0.4483883597
995	0.4483339403
996	0.4482941427
997	0.4482347106
998	0.4482047974
999	0.4481643384
